miRNA	n	DSW
hsa-mir-185	41	0.0482352941176
hsa-mir-188	12	0.0141176470588
hsa-mir-550a	2	0.00235294117647
hsa-mir-1260b	3	0.00352941176471
hsa-mir-4732	3	0.00352941176471
hsa-mir-518b	9	0.0105882352941
hsa-mir-4731	1	0.00117647058824
hsa-mir-4736	1	0.00117647058824
hsa-mir-518c	4	0.00470588235294
hsa-mir-105-2	2	0.00235294117647
hsa-mir-1308	2	0.00235294117647
hsa-mir-4739	4	0.00470588235294
hsa-mir-3189	3	0.00352941176471
hsa-mir-429	52	0.0611764705882
hsa-mir-381	25	0.0294117647059
hsa-mir-376a-2	7	0.00823529411765
hsa-mir-383	23	0.0270588235294
hsa-mir-384	7	0.00823529411765
hsa-mir-3130-2	1	0.00117647058824
hsa-mir-1908	7	0.00823529411765
hsa-mir-1909	2	0.00235294117647
hsa-mir-421	14	0.0164705882353
hsa-mir-518f	2	0.00235294117647
hsa-mir-423	41	0.0482352941176
hsa-mir-105-1	2	0.00235294117647
hsa-mir-425	27	0.0317647058824
hsa-mir-424	48	0.0564705882353
hsa-mir-5481	2	0.00235294117647
hsa-mir-181b-2	28	0.0329411764706
hsa-mir-542	24	0.0282352941176
hsa-mir-543	12	0.0141176470588
hsa-mir-18a	88	0.103529411765
hsa-let-7d	56	0.0658823529412
hsa-mir-153-1	7	0.00823529411765
hsa-mir-545	7	0.00823529411765
hsa-mir-2278	3	0.00352941176471
hsa-mir-548	4	0.00470588235294
hsa-let-7e	53	0.0623529411765
hsa-mir-133a	74	0.0870588235294
hsa-mir-133b	52	0.0611764705882
hsa-mir-512-2	4	0.00470588235294
hsa-mir-1237	2	0.00235294117647
hsa-mir-4782	1	0.00117647058824
hsa-mir-15a	108	0.127058823529
hsa-mir-656	1	0.00117647058824
hsa-mir-15b	73	0.0858823529412
hsa-mir-774	1	0.00117647058824
hsa-mir-657	4	0.00470588235294
hsa-mir-451b	3	0.00352941176471
hsa-mir-802	4	0.00470588235294
hsa-mir-801	2	0.00235294117647
hsa-mir-451a	36	0.0423529411765
hsa-mir-654	2	0.00235294117647
hsa-mir-103-1	3	0.00352941176471
hsa-let-7	58	0.0682352941176
hsa-mir-655	7	0.00823529411765
hsa-mir-320b-2	4	0.00470588235294
hsa-mir-147b	8	0.00941176470588
hsa-mir-551b	7	0.00823529411765
hsa-mir-339	21	0.0247058823529
hsa-mir-338	29	0.0341176470588
hsa-mir-633b	1	0.00117647058824
hsa-mir-335	51	0.06
hsa-mir-337	12	0.0141176470588
hsa-mir-512-1	3	0.00352941176471
hsa-mir-331	19	0.0223529411765
hsa-mir-330	24	0.0282352941176
hsa-mir-1231	3	0.00352941176471
hsa-mir-4282	1	0.00117647058824
hsa-mir-129b	1	0.00117647058824
hsa-mir-7515	1	0.00117647058824
hsa-mir-4281	1	0.00117647058824
hsa-mir-4286	4	0.00470588235294
hsa-mir-4284	2	0.00235294117647
hsa-mir-302f	7	0.00823529411765
hsa-mir-877	4	0.00470588235294
hsa-mir-874	16	0.0188235294118
hsa-mir-875	2	0.00235294117647
hsa-mir-872	1	0.00117647058824
hsa-mir-873	8	0.00941176470588
hsa-mir-1185	1	0.00117647058824
hsa-mir-720	20	0.0235294117647
hsa-mir-345	13	0.0152941176471
hsa-mir-1298	3	0.00352941176471
hsa-mir-3673	1	0.00117647058824
hsa-mir-3676	4	0.00470588235294
hsa-mir-320b-1	4	0.00470588235294
hsa-mir-1179	5	0.00588235294118
hsa-mir-1178	2	0.00235294117647
hsa-mir-151	13	0.0152941176471
hsa-mir-150	120	0.141176470588
hsa-mir-153	16	0.0188235294118
hsa-mir-152	40	0.0470588235294
hsa-mir-155	239	0.281176470588
hsa-mir-154	17	0.02
hsa-mir-157	1	0.00117647058824
hsa-mir-4454	3	0.00352941176471
hsa-mir-4513	1	0.00117647058824
hsa-mir-4510	1	0.00117647058824
hsa-mir-4458	2	0.00235294117647
hsa-mir-4516	1	0.00117647058824
hsa-mir-467a	1	0.00117647058824
hsa-mir-1260	1	0.00117647058824
hsa-mir-4497	1	0.00117647058824
hsa-mir-648a	1	0.00117647058824
hsa-mir-4324	2	0.00235294117647
hsa-mir-4648	1	0.00117647058824
hsa-mir-6721	1	0.00117647058824
hsa-mir-6720	1	0.00117647058824
hsa-mir-6729	1	0.00117647058824
hsa-mir-33a	36	0.0423529411765
hsa-mir-33b	25	0.0294117647059
hsa-mir-24	80	0.0941176470588
hsa-mir-3178	3	0.00352941176471
hsa-mir-26	7	0.00823529411765
hsa-mir-1307	6	0.00705882352941
hsa-mir-595	8	0.00941176470588
hsa-mir-21	303	0.356470588235
hsa-mir-22	71	0.0835294117647
hsa-mir-1303	6	0.00705882352941
hsa-mir-3171	2	0.00235294117647
hsa-mir-613	8	0.00941176470588
hsa-mir-610	4	0.00470588235294
hsa-mir-3172	1	0.00117647058824
hsa-mir-616	6	0.00705882352941
hsa-mir-29	49	0.0576470588235
hsa-mir-614	2	0.00235294117647
hsa-mir-219-1	10	0.0117647058824
hsa-mir-517c	4	0.00470588235294
hsa-mir-517b	2	0.00235294117647
hsa-mir-517a	9	0.0105882352941
hsa-mir-3074	2	0.00235294117647
hsa-mir-4423	2	0.00235294117647
hsa-mir-499b	3	0.00352941176471
hsa-mir-500b	2	0.00235294117647
hsa-mir-758	5	0.00588235294118
hsa-mir-514a-1	2	0.00235294117647
hsa-mir-1233-1	1	0.00117647058824
hsa-mir-355p	1	0.00117647058824
hsa-mir-148	7	0.00823529411765
hsa-mir-1270	1	0.00117647058824
hsa-mir-1271	11	0.0129411764706
hsa-mir-1273	2	0.00235294117647
hsa-mir-1275	11	0.0129411764706
hsa-mir-1276	1	0.00117647058824
hsa-mir-1277	1	0.00117647058824
hsa-mir-3176	1	0.00117647058824
hsa-mir-515-1	4	0.00470588235294
hsa-mir-135a-2	16	0.0188235294118
hsa-mir-30c-2	25	0.0294117647059
hsa-mir-30c-1	21	0.0247058823529
hsa-mir-3677	1	0.00117647058824
hsa-mir-130a	64	0.0752941176471
hsa-mir-130b	47	0.0552941176471
hsa-mir-509	18	0.0211764705882
hsa-mir-506	22	0.0258823529412
hsa-mir-507	3	0.00352941176471
hsa-mir-504	13	0.0152941176471
hsa-mir-505	15	0.0176470588235
hsa-mir-502	16	0.0188235294118
hsa-mir-503	33	0.0388235294118
hsa-mir-500	6	0.00705882352941
hsa-mir-501	5	0.00588235294118
hsa-mir-99	3	0.00352941176471
hsa-mir-7705	1	0.00117647058824
hsa-mir-98	44	0.0517647058824
hsa-mir-519a	4	0.00470588235294
hsa-mir-422b	4	0.00470588235294
hsa-mir-4518	1	0.00117647058824
hsa-mir-600	1	0.00117647058824
hsa-mir-519c	8	0.00941176470588
hsa-mir-1238	3	0.00352941176471
hsa-mir-941	2	0.00235294117647
hsa-mir-1292	1	0.00117647058824
hsa-mir-156a	1	0.00117647058824
hsa-mir-1245b	1	0.00117647058824
hsa-mir-4484	1	0.00117647058824
hsa-mir-4455	1	0.00117647058824
hsa-mir-4317	1	0.00117647058824
hsa-mir-921	1	0.00117647058824
hsa-mir-922	4	0.00470588235294
hsa-mir-923	2	0.00235294117647
hsa-mir-379	10	0.0117647058824
hsa-mir-378	43	0.0505882352941
hsa-mir-320e	5	0.00588235294118
hsa-mir-320d	7	0.00823529411765
hsa-mir-320c	5	0.00588235294118
hsa-mir-449b	23	0.0270588235294
hsa-mir-320a	43	0.0505882352941
hsa-mir-371	10	0.0117647058824
hsa-mir-370	36	0.0423529411765
hsa-mir-373	45	0.0529411764706
hsa-mir-372	35	0.0411764705882
hsa-mir-375	75	0.0882352941176
hsa-mir-422a	13	0.0152941176471
hsa-mir-377	21	0.0247058823529
hsa-mir-376	6	0.00705882352941
hsa-mir-3179-1	1	0.00117647058824
hsa-mir-579	4	0.00470588235294
hsa-mir-578	1	0.00117647058824
hsa-mir-181a-1	16	0.0188235294118
hsa-mir-573	5	0.00588235294118
hsa-mir-572	8	0.00941176470588
hsa-mir-571	4	0.00470588235294
hsa-mir-570	8	0.00941176470588
hsa-mir-577	4	0.00470588235294
hsa-mir-576	6	0.00705882352941
hsa-mir-575	8	0.00941176470588
hsa-mir-574	27	0.0317647058824
hsa-mir-3170	1	0.00117647058824
hsa-mir-514a-3	2	0.00235294117647
hsa-mir-4775	1	0.00117647058824
hsa-mir-4772	1	0.00117647058824
hsa-mir-589	4	0.00470588235294
hsa-mir-3940	1	0.00117647058824
hsa-mir-4778	1	0.00117647058824
hsa-mir-550a-2	6	0.00705882352941
hsa-mir-550a-3	2	0.00235294117647
hsa-mir-550a-1	6	0.00705882352941
hsa-mir-189	1	0.00117647058824
hsa-mir-2355	1	0.00117647058824
hsa-mir-3200	1	0.00117647058824
hsa-mir-4488	1	0.00117647058824
hsa-mir-1285-1	1	0.00117647058824
hsa-mir-939	10	0.0117647058824
hsa-mir-217	26	0.0305882352941
hsa-mir-214	84	0.0988235294118
hsa-mir-215	33	0.0388235294118
hsa-mir-212	43	0.0505882352941
hsa-mir-4650	1	0.00117647058824
hsa-mir-210	116	0.136470588235
hsa-mir-211	25	0.0294117647059
hsa-mir-92a	80	0.0941176470588
hsa-mir-92b	29	0.0341176470588
hsa-mir-218	56	0.0658823529412
hsa-mir-219	22	0.0258823529412
hsa-mir-1	76	0.0894117647059
hsa-mir-3	1	0.00117647058824
hsa-mir-548an	1	0.00117647058824
hsa-mir-7	49	0.0576470588235
hsa-mir-9	87	0.102352941176
hsa-mir-3682	1	0.00117647058824
hsa-mir-3687	1	0.00117647058824
hsa-mir-3591	1	0.00117647058824
hsa-mir-4258	1	0.00117647058824
hsa-mir-6075	1	0.00117647058824
hsa-mir-4649	1	0.00117647058824
hsa-mir-3926	1	0.00117647058824
hsa-mir-3925	1	0.00117647058824
hsa-mir-3928	1	0.00117647058824
hsa-mir-651	2	0.00235294117647
hsa-mir-687	1	0.00117647058824
hsa-mir-4257	1	0.00117647058824
hsa-mir-526b	7	0.00823529411765
hsa-mir-1227	4	0.00470588235294
hsa-mir-1226	2	0.00235294117647
hsa-mir-1225	3	0.00352941176471
hsa-mir-1224	10	0.0117647058824
hsa-mir-652	15	0.0176470588235
hsa-mir-650	15	0.0176470588235
hsa-mir-718	5	0.00588235294118
hsa-mir-3142	1	0.00117647058824
hsa-mir-218-2	23	0.0270588235294
hsa-mir-218-1	26	0.0305882352941
hsa-mir-302d	14	0.0164705882353
hsa-mir-302c	20	0.0235294117647
hsa-mir-153-2	10	0.0117647058824
hsa-mir-1229	2	0.00235294117647
hsa-mir-659	3	0.00352941176471
hsa-mir-4429	1	0.00117647058824
hsa-mir-302e	4	0.00470588235294
hsa-mir-103	32	0.0376470588235
hsa-mir-100	60	0.0705882352941
hsa-mir-101	59	0.0694117647059
hsa-mir-106	4	0.00470588235294
hsa-mir-107	62	0.0729411764706
hsa-mir-105	8	0.00941176470588
hsa-mir-3689d	1	0.00117647058824
hsa-mir-550b-1	1	0.00117647058824
hsa-mir-550b-2	1	0.00117647058824
hsa-mir-1825	4	0.00470588235294
hsa-mir-1471	2	0.00235294117647
hsa-mir-635	2	0.00235294117647
hsa-mir-34	32	0.0376470588235
hsa-mir-3126	1	0.00117647058824
hsa-mir-1295a	2	0.00235294117647
hsa-mir-10b	60	0.0705882352941
hsa-mir-1827	4	0.00470588235294
hsa-mir-10a	46	0.0541176470588
hsa-mir-623	1	0.00117647058824
hsa-mir-622	10	0.0117647058824
hsa-mir-621	2	0.00235294117647
hsa-mir-620	2	0.00235294117647
hsa-mir-3144	3	0.00352941176471
hsa-mir-3960	2	0.00235294117647
hsa-mir-625	17	0.02
hsa-mir-3147	1	0.00117647058824
hsa-mir-466b	1	0.00117647058824
hsa-mir-3149	3	0.00352941176471
hsa-mir-1290	18	0.0211764705882
hsa-mir-628	12	0.0141176470588
hsa-mir-1296	3	0.00352941176471
hsa-mir-1297	6	0.00705882352941
hsa-mir-1294	2	0.00235294117647
hsa-mir-1295	1	0.00117647058824
